label	source_table	source_column	usage_count
15  inch display	config_option	description	1
15 Key Alpha Function Numeric Keypad	config_option	description	1
15,000-19,999 Users	config_option	description	1
15.6 in. screen	config_option	description	1
16 Element with CLAS	config_option	description	1
16 Element without CLAS	config_option	description	1
16 GB RAM / 256 GB OPAL SSD	config_option	description	1
16 GB RAM / 256 GB SSD	config_option	description	1
16 MP	config_option	description	1
16GB Internal Storage	config_option	description	1
16GB RAM	config_option	description	1
16MP Rear Camera only	config_option	description	1
16MP Rear/ 5MP Front Cameras	config_option	description	1
1900 mAh (Standard)	config_option	description	1
1950 mAh (Small form factor 1X battery)	config_option	description	1
1950mAh Battery Capacity	config_option	description	1
1D CMOS Linear Imager SE655	config_option	description	1
"1D Chassis, 4.3"" display"	config_option	description	1
1D Extened Range Laser SE1524ER	config_option	description	1
1D Imager SE655 Endcap	config_option	description	1
1D Imager SE655 Slim Pod	config_option	description	1
1D Laser	config_option	description	1
1D Laser - SE965 Standard Range Laser	config_option	description	1
1D Laser SE950	config_option	description	1
1D Laser SE960	config_option	description	1
1D Laser SE965 Endcap	config_option	description	1
1D Laser SE965 Slim Pod	config_option	description	1
1D Laser- SE-950 (1 Dimensional)	config_option	description	1
1D Laser-SE-950 & 3.2MP Camera	config_option	description	1
1D Laser-SE-950 and Camera	config_option	description	1
1D Laser-SE800HP (1 Dimensional)	config_option	description	1
1D Laser-SE950	config_option	description	1
1D Laser-SE950 (1 Dimensional)	config_option	description	1
1D SE655 Linear Imager	config_option	description	1
1G/4G+4Gsd	config_option	description	1
1G/8G	config_option	description	1
1GB RAM / 2 GB Flash	config_option	description	1
1GB RAM / 2GB FLASH	config_option	description	1
1GB RAM/ 4GB Flash	config_option	description	1
1GB RAM/ 8GB FLASH pSLC	config_option	description	1
1GB SDIO Memory Card	config_option	description	1
1GB/8GB	config_option	description	1
1Port	config_option	description	1
1X Battery - 1560 mA battery	config_option	description	1
1X Battery - 2400 mA battery	config_option	description	1
1X Battery w/ 128MB RAM	config_option	description	1
1X Standard Capacity	config_option	description	1
1st Generation	config_option	description	1
2 Antenna	config_option	description	1
2 GB RAM	config_option	description	1
2 GB RAM / 16GB Flash	config_option	description	1
2 GB RAM/ 8 GB Flash	config_option	description	1
2 GB RAM/128 GB FLASH	config_option	description	1
2 GB RAM/16 GB FLASH	config_option	description	1
2 GB RAM/32 GB FLASH	config_option	description	1
2 GB RAM/64 GB FLASH	config_option	description	1
2 Inch	config_option	description	1
2 MP	config_option	description	1
2 Nano SIM (QC8x56) and SIM Lock	config_option	description	1
2 Nano SIM (no SAM)	config_option	description	1
2 Nano SIM SD660 SIM lock	config_option	description	1
2 Nano SIM/ 1 SAM	config_option	description	1
2 Nano SIM/ 2 SAM   SD660 WAN ROW	config_option	description	1
2 Nano SIM/1 SAM	config_option	description	1
2 Ports	config_option	description	1
2 x Rugged I/O	config_option	description	1
2,500-4,999 Users	config_option	description	1
2-Pin Connector Back Door	config_option	description	1
2-Pin Connector Back I/O connector	config_option	description	1
2-inch	config_option	description	1
2.2ghz	config_option	description	1
2.3 mp	config_option	description	1
2.3 mp Color	config_option	description	1
2.3 mp Monochrome	config_option	description	1
2.5G EGPRS	config_option	description	1
20 KHz � 1 w	config_option	description	1
20 KHz � � w	config_option	description	1
20 KHz, 1 Watt	config_option	description	1
20 KHz, 1/2 Watt	config_option	description	1
20 Key Mechanical	config_option	description	1
20 MP	config_option	description	1
20,000-49,999 Users	config_option	description	1
2000 mAh without NFC, no WPC	config_option	description	1
203  (8 dot/mm)	config_option	description	1
20KHZ � 1 w	config_option	description	1
20KHZ � � w	config_option	description	1
20KHz - 1 W	config_option	description	1
20KHz - 1/2 Watt	config_option	description	1
21- Key	config_option	description	1
21.5 in. screen	config_option	description	1
2100 MHz HSDPA, Quad-band GSM	config_option	description	1
22  inch display	config_option	description	1
22XX Series	config_option	description	1
24 MP	config_option	description	1
24/48 V (60W)	config_option	description	1
240 x 240, Monochrome, No Touch	config_option	description	1
2400mAh	config_option	description	1
25 KHz � 1 w	config_option	description	1
25 KHz � � w	config_option	description	1
25 KHz, 1 Watt	config_option	description	1
25 KHz, 1/2 Watt	config_option	description	1
25 Keys	config_option	description	1
250-499 Users	config_option	description	1
256 GB PCIE SSD	config_option	description	1
256 GB SSD	config_option	description	1
256 MB	config_option	description	1
256GB PCIe SSD	config_option	description	1
256MB RAM / 1GB Flash	config_option	description	1
256MB RAM / 256MB Flash	config_option	description	1
256MB RAM / 512MB Flash (Batch configs only)	config_option	description	1
256MB RAM, 1GB Flash Memory	config_option	description	1
256MB RAM/1GB Flash (WLAN configs only)	config_option	description	1
256MB/1GB	config_option	description	1
256MB/1GB W/HF RFID	config_option	description	1
256MB/512MB	config_option	description	1
25KHZ � 1 w	config_option	description	1
25KHZ � � w	config_option	description	1
25KHz - 1 W	config_option	description	1
25KHz - 1/2 Watt	config_option	description	1
27 in. screen	config_option	description	1
28 Key	config_option	description	1
28 Key Numeric	config_option	description	1
29 Key	config_option	description	1
29 Key Numeric	config_option	description	1
2D Area Imager SE4500DL	config_option	description	1
2D Imager - SE4750-DP DPM Imager	config_option	description	1
2D Imager - SE4750-DPA DPM Imager (wide angle)	config_option	description	1
2D Imager - SE4750MR Medium Range Imager	config_option	description	1
2D Imager - SE4750SR Standard Range Imager	config_option	description	1
2D Imager - SE4770 Standard Range Imager	config_option	description	1
2D Imager - SE4850 Extended Range Imager	config_option	description	1
2D Imager SE4500	config_option	description	1
2D Imager SE4500 Endcap	config_option	description	1
2D Imager SE4500 Slim Pod	config_option	description	1
2D Imager Scanner, Cordless	config_option	description	1
2D PICO Imager (2 Dimensional)	config_option	description	1
2D PICO Imager with Red Dot Aim	config_option	description	1
2D Pico Imager	config_option	description	1
2D Pico Imager and Camera	config_option	description	1
2D SE4710	config_option	description	1
2D SE4710 imager	config_option	description	1
2D SE4750 SR Decoded MPI + Front + Rear Cameras	config_option	description	1
2GB RAM/ 16GB FLASH MLC	config_option	description	1
2GB RAM/ 16GB FLASH pSLC	config_option	description	1
2GB Ram, 16GB Flash	config_option	description	1
2Port	config_option	description	1
2X Battery - 3600 mA battery	config_option	description	1
2X Battery w/ 128MB RAM	config_option	description	1
2mb	config_option	description	1
2nd  Generation	config_option	description	1
3 GB RAM/32 GB FLASH	config_option	description	1
3 Inch	config_option	description	1
3 Keys	config_option	description	1
3 Year Warranty	config_option	description	1
3 keys; voice device	config_option	description	1
3-inch	config_option	description	1
3.2 mega pixel camera	config_option	description	1
3.2MP Camera	config_option	description	1
3.5G HSDPA	config_option	description	1
3.5mm Audio Jack	config_option	description	1
3.5� color VGA display	config_option	description	1
3.8 - Color Display	config_option	description	1
3.8 - Monochrome Display	config_option	description	1
3.8in. Color Display	config_option	description	1
3.8in. Monochrome Display	config_option	description	1
300  (12 dot/mm)	config_option	description	1
32 GB MMC (pSLC)	config_option	description	1
32 GB RAM / 1 TB SSD	config_option	description	1
32 GB RAM / 2 TB SSD	config_option	description	1
32 GB RAM / 512 GB OPAL SSD	config_option	description	1
32 GB RAM / 512 GB SSD	config_option	description	1
32 GB SSD	config_option	description	1
320 x 240 Color QVGA ( Non touch)	config_option	description	1
320 x 240, 3.5in, 1/4 VGA Color	config_option	description	1
3200 Series	config_option	description	1
32MB Flash, 32MB RAM	config_option	description	1
32MB RAM / 32MB ROM	config_option	description	1
32MB RAM/32MB Flash	config_option	description	1
32MB RAM/64MB Flash	config_option	description	1
32MB/32MB	config_option	description	1
33 Key	config_option	description	1
3300 Series	config_option	description	1
34 (FN Numeric)	config_option	description	1
34 Key Function Numeric	config_option	description	1
34 Key, Freezer Legacy Colors, Numeric Telephony, 12 Function Single Push	config_option	description	1
34 Key, Numeric Telephony, 12 Function Single Push	config_option	description	1
34XX Series	config_option	description	1
36 Key, Alpha Modified, Numeric Calculator, 12 Function single push	config_option	description	1
36 Key, Numeric Telephony, 12 Function single push	config_option	description	1
3600 mAh (Standard 1.5X battery)	config_option	description	1
3600 mAh (Standard)	config_option	description	1
3600 mAh Battery	config_option	description	1
3600mAh (Mid-Capacity)	config_option	description	1
3600mAh Battery Capacity	config_option	description	1
37 Key Arabic	config_option	description	1
37 Key Elastomer	config_option	description	1
37 Key Hardcap	config_option	description	1
38 Key	config_option	description	1
38 Key (Alpha Prime)	config_option	description	1
38 Key (Numeric Prime)	config_option	description	1
38 Key Function Numeric	config_option	description	1
3800 mAh (Extended)	config_option	description	1
3G Voice and Data	config_option	description	1
3GB RAM / 32GB Flash	config_option	description	1
3GB/32GB	config_option	description	1
3GB/32GB with Vibrator	config_option	description	1
3Port	config_option	description	1
3nd  Generation	config_option	description	1
4 GB	config_option	description	1
4 GB RAM / 32 GB Flash	config_option	description	1
4 GB RAM, 128 GB eMMC	config_option	description	1
4 GB RAM, 64 GB eMMC	config_option	description	1
4 GB RAM/128 GB FLASH	config_option	description	1
4 GB RAM/16 GB FLASH	config_option	description	1
4 GB RAM/32 GB FLASH	config_option	description	1
4 GB RAM/32 GB FLASH�	config_option	description	1
4 GB RAM/64 GB FLASH	config_option	description	1
4 GB RAM/64GB Flash UFS Memory	config_option	description	1
4 Inch	config_option	description	1
4 Input/4 Output	config_option	description	1
4 Keys	config_option	description	1
4 Ports	config_option	description	1
4-inch	config_option	description	1
"4.7"" display w/capacitive touch panel"	config_option	description	1
403-419 MHZ - Narrowband only	config_option	description	1
403-419 MHZ � Narrowband +802.11 b/g	config_option	description	1
403-419 MHZ � Narrowband only	config_option	description	1
403-419 MHz Narrowband	config_option	description	1
403-419 MHz � NB only	config_option	description	1
403-419 MHz- Narrowband + 802.11 a/b/g/n	config_option	description	1
403-422 MHZ � Narrowband + 802.11 b/g	config_option	description	1
403-422 MHZ � Narrowband +802.11 b/g	config_option	description	1
403-422 MHZ � Narrowband only	config_option	description	1
403-422 MHz Narrowband	config_option	description	1
403-422 MHz � NB only	config_option	description	1
403-422 MHz � Narrowband only	config_option	description	1
403-422 MHz- Narrowband + 802.11 a/b/g/n	config_option	description	1
403-435 MHz- Narrowband	config_option	description	1
403-435 MHz- Narrowband + 802.11 a/b/g/n	config_option	description	1
419-435 MHZ -  Narrowband only	config_option	description	1
419-435 MHZ � Narrowband + 802.11 b/g	config_option	description	1
419-435 MHZ � Narrowband +802.11 b/g	config_option	description	1
419-435 MHZ � Narrowband only	config_option	description	1
419-435 MHz Narrowband	config_option	description	1
419-435 MHz � NB only	config_option	description	1
419-435 MHz- Narrowband + 802.11 a/b/g/n	config_option	description	1
43 Key	config_option	description	1
43 Key Function Numeric	config_option	description	1
43 Key Numeric-Function	config_option	description	1
4300 mAh battery, NFC, No wireless charging	config_option	description	1
4300 mAh with NFC, no WPC	config_option	description	1
435-451 MHZ � Narrowband + 802.11 b/g	config_option	description	1
435-451 MHZ � Narrowband +802.11 b/g	config_option	description	1
435-451 MHZ � Narrowband only	config_option	description	1
435-451 MHz Narrowband	config_option	description	1
435-451 MHz � NB only	config_option	description	1
435-451 MHz- Narrowband + 802.11 a/b/g/n	config_option	description	1
435-470 MHz- Narrowband	config_option	description	1
435-470 MHz- Narrowband + 802.11 a/b/g/n	config_option	description	1
4400mAh	config_option	description	1
45 degree SE4750 (45 degree scan angle N/A for Gun configurations)	config_option	description	1
45 degree SE4750 + Camera (45 degree scan angle N/A for Gun configurations)	config_option	description	1
45 degree SE4770 (45 degree scan angle N/A for Gun configurations)	config_option	description	1
45 degree SE4770 + Camera (45 degree scan angle N/A for Gun configurations)	config_option	description	1
450-467 MHZ � Narrowband + 802.11 b/g	config_option	description	1
450-467 MHZ � Narrowband +802.11 b/g	config_option	description	1
450-467 MHZ � Narrowband only	config_option	description	1
450-467 MHz � NB only	config_option	description	1
450-470 MHZ � Narrowband + 802.11 b/g	config_option	description	1
450-470 MHZ � Narrowband +802.11 b/g	config_option	description	1
450-470 MHZ � Narrowband only	config_option	description	1
450-470 MHz Narrowband	config_option	description	1
450-470 MHz � NB only	config_option	description	1
450-470 MHz- Narrowband + 802.11 a/b/g/n	config_option	description	1
4600	config_option	description	1
464-480 MHZ � Narrowband + 802.11 b/g	config_option	description	1
464-480 MHZ � Narrowband +802.11 b/g	config_option	description	1
464-480 MHZ � Narrowband only	config_option	description	1
464-480 MHz � NB only	config_option	description	1
47 Key	config_option	description	1
47 Key Alpha Numeric	config_option	description	1
48 Key	config_option	description	1
480-496 MHZ � Narrowband + 802.11 b/g	config_option	description	1
480-496 MHZ � Narrowband +802.11 b/g	config_option	description	1
480-496 MHZ � Narrowband only	config_option	description	1
480-496 MHz � NB only	config_option	description	1
4800 mAh (Extended)	config_option	description	1
4800 mAh (Standard 2.5X battery)	config_option	description	1
496-512 MHZ � Narrowband + 802.11 b/g	config_option	description	1
496-512 MHZ � Narrowband +802.11 b/g	config_option	description	1
496-512 MHZ � Narrowband only	config_option	description	1
496-512 MHz � NB only	config_option	description	1
4GB / 64GB	config_option	description	1
4GB RAM /32GB Flash	config_option	description	1
4GB RAM/ 32GB FLASH MLC	config_option	description	1
4GB RAM/ 32GB FLASH UFS Memory	config_option	description	1
4GB RAM/ 32GB FLASH pSLC	config_option	description	1
4GB RAM/ 64GB FLASH; with Apple VAS / Google Smart Tap	config_option	description	1
4GB RAM/32GB FLASH pSLC	config_option	description	1
4GB RAM/64GB FLASH	config_option	description	1
4GB Ram, 32 GB Flash	config_option	description	1
4GB/16GB + Sensors	config_option	description	1
4GB/32GB + Sensors	config_option	description	1
4GB/64GB w/SD	config_option	description	1
4MB Flash / 8MB SDRAM (standard memory)	config_option	description	1
4Port	config_option	description	1
5 MP	config_option	description	1
5 VDC at Pin 9 of COM1	config_option	description	1
5,000 mAh battery	config_option	description	1
5,000-7,499 Users	config_option	description	1
5.0 mp Color Global	config_option	description	1
5.0 mp Global	config_option	description	1
5.1 mp	config_option	description	1
5.1 mp Color	config_option	description	1
50-14000-253R : 5V 850mA US-CA-MX-JP-TW Power Supply	config_option	description	1
50-99 Users	config_option	description	1
500-999 Users	config_option	description	1
512 GB PCIE SSD	config_option	description	1
512 GB SSD	config_option	description	1
512 MB RAM / 2 GB Flash	config_option	description	1
512 MB RAM/ 2 GB FLASH	config_option	description	1
512GB PCIe SSD	config_option	description	1
512MB SDRAM/1GB Flash ROM (India Only)	config_option	description	1
512MB SDRAM/1GB Flash ROM (Worldwide less India)	config_option	description	1
512MB/1GB/GPS	config_option	description	1
512MB/2GB	config_option	description	1
52 Key 3270 Emulation	config_option	description	1
53 Key	config_option	description	1
53 Key 3270 Emulation	config_option	description	1
53 Key 5250 Emulation	config_option	description	1
53 Key Alpha-Numeric	config_option	description	1
53 Key Standard Alpha Numeric	config_option	description	1
53 Key VT Emulation	config_option	description	1
53 Key Virtual Terminal	config_option	description	1
53 key 3270	config_option	description	1
53 key 5250	config_option	description	1
53 key High Visibility White Keys	config_option	description	1
53 key VT	config_option	description	1
5300 mAh Freezer Battery (required on Arctic)	config_option	description	1
55 Key, Phone Keys, Alpha ABC, Numeric Telephony	config_option	description	1
58 Key Alpha Numeric	config_option	description	1
58 Key, Freezer Legacy Colors, Alpha ABC, Numeric Telephony, 6 Function Single Push	config_option	description	1
59 Key, Alpha ABC, Numeric Telephony, 6 Function single push	config_option	description	1
59 key shifted Alpha SAP, Numeric Telephony, 6 Function keys (no F5)	config_option	description	1
5G WITH CBRS	config_option	description	1
5Port	config_option	description	1
6 GB RAM/64 GB FLASH	config_option	description	1
6-inch	config_option	description	1
600  (24 dot/mm)	config_option	description	1
63 Key Arabic	config_option	description	1
63 Key Elastomer	config_option	description	1
63 Key Hardcap	config_option	description	1
64 GB SSD	config_option	description	1
64GB Internal Storage	config_option	description	1
64MB Flash, 32MB RAM	config_option	description	1
64MB RAM / 64MB ROM	config_option	description	1
64MB RAM/128MB Flash	config_option	description	1
64MB RAM/128MB Flash (WM OS only)	config_option	description	1
64MB RAM/64MB Flash (CE OS only)	config_option	description	1
64MB RAM/64MB ROM	config_option	description	1
64MB/64MB	config_option	description	1
66 Key, Phone Keys, Alpha QWERTY, Numeric Telephony, 6 Function Single Push	config_option	description	1
6GB / 128GB	config_option	description	1
6GB / 64GB	config_option	description	1
6GB RAM/64GB FLASH	config_option	description	1
6GB | 128GB	config_option	description	1
6GB/128GB w/SD	config_option	description	1
6GB/64GB w/SD	config_option	description	1
6GB/64GB w/o SD	config_option	description	1
6Port	config_option	description	1
7 Pin bottom connector	config_option	description	1
"7"" widescreen"	config_option	description	1
7,500-9,999 Users	config_option	description	1
7000mAh	config_option	description	1
70XX Series	config_option	description	1
72XX Series	config_option	description	1
7Port	config_option	description	1
8 GB	config_option	description	1
8 GB RAM / 128 GB Flash	config_option	description	1
8 GB RAM / 128 GB SSD	config_option	description	1
8 GB RAM / 256 GB SSD	config_option	description	1
8 GB RAM, 128 GB eMMC	config_option	description	1
8 GB RAM/ 128 GB FLASH	config_option	description	1
8 GB RAM/64 GB FLASH	config_option	description	1
8 Inch WXGA Display	config_option	description	1
8 MB Ram	config_option	description	1
8 MP	config_option	description	1
8 MP Camera Back Cover.  WEHH OS only.  Not applicable for CE OS.	config_option	description	1
8 MP Color Camera	config_option	description	1
8 Pin Rear I/O FHD Display	config_option	description	1
8 Ports	config_option	description	1
8 dot/mm (203 dpi)	config_option	description	1
"8"" (1280 x 720)"	config_option	description	1
8-Pin Connector Back Door	config_option	description	1
8-Pin Connector Back I/O connector	config_option	description	1
8-inch	config_option	description	1
8000 Series	config_option	description	1
800MHz	config_option	description	1
800MHz & 900MHz WORLDWIDE	config_option	description	1
800MHz RFID (EU/UK and other countries supporting 800MHz RFID) or European Economic Area non-RFID	config_option	description	1
800mAh	config_option	description	1
800mhz processor�	config_option	description	1
802.11	config_option	description	1
802.11 (wireless)	config_option	description	1
802.11 A/B/G/N, BT 2.0+ EDR	config_option	description	1
802.11 A/B/G/N, BT 2.0+ EDR, GPS	config_option	description	1
802.11 A/B/G/N, BT 2.0+ EDR, HSPA +, GPS	config_option	description	1
802.11 A/B/G/N, BT 2.0+ EDR, HSPA +, GPS, No Voice	config_option	description	1
802.11 A/B/G/N, BT 2.0+ EDR, No WAN	config_option	description	1
802.11 ABG Card	config_option	description	1
802.11 a/b/g	config_option	description	1
802.11 a/b/g, BT 2.0, GPS	config_option	description	1
802.11 a/b/g/n	config_option	description	1
802.11 a/b/g/n ac	config_option	description	1
802.11 a/b/g/n/ac MU-MIMO	config_option	description	1
802.11 a/b/g/n/ac/ax/d/h/i/r/k/v/w/mc + NFC + BT 5.x + 2x2 MU-MIMO (Wi-Fi 6)	config_option	description	1
802.11 a/b/g/n/ac/d/h/i/r/k/v/w/mc + NFC + BT 5.x + 2x2 MU-MIMO (WLAN Only)	config_option	description	1
802.11 a/b/g/n/ac/d/h/l/k/r/v/w/mc	config_option	description	1
802.11 a/b/g/n/d/h/i/k/r/a/c + NFC + BT 5.1 + 2x2 MuMIMO   SD660	config_option	description	1
802.11 a/b/g/n/r	config_option	description	1
802.11 and Bluetooth radios disabled	config_option	description	1
802.11 b/g	config_option	description	1
802.11 b/g and BT 2.1	config_option	description	1
802.11 b/g/a	config_option	description	1
802.11 bg	config_option	description	1
802.11, BT, NFC	config_option	description	1
802.11A/B/G/N, Divsty, BT3.0+WBA+HFP1.6, UMTS/HSPA+, Aus, No Styls	config_option	description	1
802.11_ BT_ NFC	config_option	description	1
802.11a/b/g (wireless)	config_option	description	1
802.11a/b/g/n + NFC+ BT 4.0	config_option	description	1
802.11a/b/g/n/ac, 2 connectors for external antennas, MIMO or diversity	config_option	description	1
802.11a/b/g/n/ac, 2 internal antennas, MIMO or diversity	config_option	description	1
802.11a/b/g/n/d/h/i/k/ac + NFC+ BT 4.x + 2x2 MIMO	config_option	description	1
802.11a/b/g/n/d/h/i/k/r + BT 4.x	config_option	description	1
802.11a/b/g/n/d/h/i/k/r/ac + BT 5.1 + 2x2 MuMIMO  - SD660	config_option	description	1
802.11a/b/g/n/d/h/i/k/r/ac + BT 5.x no NFC	config_option	description	1
802.11a/b/g/n/d/h/i/k/r/ac + BT 5.x with NFC	config_option	description	1
802.11a/b/g/n/d/h/i/k/r/ac + NFC + BT 4.x + 2x2 MIMO (WLAN Only)	config_option	description	1
802.11a/b/g/n/d/h/i/k/r/ac + NFC+ BT 4.x + 2x2 MIMO	config_option	description	1
802.11a/b/g/n/d/h/i/k/r/ac + NFC+ BT 4.x + 2x2 MIMO (WLAN Only)	config_option	description	1
802.11a/b/g/n/d/h/i/k/r/ac + NFC+ BT 4.x + 2x2 MIMO QC 8X56	config_option	description	1
802.11a/b/g/n/d/h/i/k/r/ac + NFC+ BT 5.1 + 2x2 MuMIMO  - SD660 + Vibe	config_option	description	1
802.11a/b/g/n/d/h/i/k/r/ac + No NFC + BT 4.x + 2x2 MIMO (WLAN Only) - BASIC Tier	config_option	description	1
802.11a/b/g/n/d/h/i/k/r/ac/w + BT 5.x + NFC	config_option	description	1
802.11a/b/g/n/d/h/i/k/r/ac/w + BT 5.x + No NFC	config_option	description	1
802.11a/b/g/n/d/h/i/k/r/ac/w + BT 5.x + No NFC`	config_option	description	1
802.11a/g 802.11a  GHz ET	config_option	description	1
802.11a/g 802.11a  GHz ET with Diversity - requires 2nd set of Antenna and cables to be ordered	config_option	description	1
802.11a/g 802.11a  GHz FCC	config_option	description	1
802.11a/g 802.11a  GHz FCC with Diversity - requires 2nd set of Antenna and cables to be ordered	config_option	description	1
802.11a/g 802.11b/g  GHz ET	config_option	description	1
802.11a/g 802.11b/g  GHz ET with Diversity - requires 2nd set of Antenna and cables to be ordered	config_option	description	1
802.11a/g 802.11b/g  GHz FCC	config_option	description	1
802.11a/g 802.11b/g  GHz FCC with Diversity - requires 2nd set of Antenna and cables to be ordered	config_option	description	1
802.11abgn + NFC	config_option	description	1
802.11b (wireless)	config_option	description	1
802.11b Embedded T3	config_option	description	1
802.11b T3 Card	config_option	description	1
802.11b embedded	config_option	description	1
8100	config_option	description	1
82 Series	config_option	description	1
8300 Series	config_option	description	1
850/1900 MHz HSDPA, Quad-band GSM	config_option	description	1
865-868	config_option	description	1
865-868 MHz	config_option	description	1
8GB RAM	config_option	description	1
8GB RAM/128GB FLASH	config_option	description	1
8GB/128GB w/ SD	config_option	description	1
8GB/128GB w/SD	config_option	description	1
8GB/128GB w/SD and SIM LOCK	config_option	description	1
8GB/64GB w/SD	config_option	description	1
8MB Flash / 16MB SDRAM (via compact flash)	config_option	description	1
8MP Rear Facing Camera	config_option	description	1
8Port	config_option	description	1
9 MP	config_option	description	1
900 MHz Frequencies + Japan License Station	config_option	description	1
900MHz Bands, excluding US, Canada, Puerto Rico	config_option	description	1
900MHz RFID (Australia; New Zealand; Taiwan and other countries supporting 900MHz RFID)	config_option	description	1
900Mhz RFID for US and Canada or US Only non-RFID	config_option	description	1
902-928 + Japan License Station	config_option	description	1
902-928. 865-868	config_option	description	1
915 - 916.8 (Israel)	config_option	description	1
9300 Series	config_option	description	1
94XX Series	config_option	description	1
9Port	config_option	description	1
A/B/G/N, Diversity, BT3.0+WBA+HFP1.6, GPS, No Stylus	config_option	description	1
A/B/G/N, Diversity, BT3.0+WBA+HFP1.6, UMTS/HSPA+, CE Cntry,  No Styls	config_option	description	1
A/B/G/N, Diversity, BT3.0+WBA+HFP1.6, UMTS/HSPA+, CE Cntry, No Styls	config_option	description	1
A/B/G/N, Diversity, BT3.0+WBA+HFP1.6, UMTS/HSPA+, FCC/IC Cntry, No Voice, No Styls	config_option	description	1
A/B/G/N, No Diversity, BT3.0+WBA+HFP1.6	config_option	description	1
ABC	config_option	description	1
AC	config_option	description	1
AEI UHF RFID	config_option	description	1
AOSP	config_option	description	1
AOSP Haelthcare White	config_option	description	1
AOSP Healthcare White	config_option	description	1
AOSP Healthcare White MDNA Enterprise License	config_option	description	1
AOSP Standard Color	config_option	description	1
AOSP Std Color MDNA Enterprise License	config_option	description	1
APAC ANZ (WLAN + WWAN)	config_option	description	1
APAC Only	config_option	description	1
APAC Power Cord Bundle (EU/UK)	config_option	description	1
AR (Argentina) Power Supply, 50-14000-259R	config_option	description	1
AT&T	config_option	description	1
